train,val,test
BRACS_1875,,
BRACS_1878,,
BRACS_1883,,
BRACS_1888,,
BRACS_1897,,
BRACS_1903,,
BRACS_1908,,
BRACS_1910,,
BRACS_1919,,
BRACS_1927,,
BRACS_1929,,
BRACS_1930,,
BRACS_1935,,
BRACS_1945,,
BRACS_1947,,
BRACS_1950,,
BRACS_1984,,
BRACS_1999,,
BRACS_3291,,
BRACS_3293,,
BRACS_3294,,
BRACS_3301,,
BRACS_3302,,
BRACS_3305,,
BRACS_3315,,
BRACS_3316,,
BRACS_3319,,
BRACS_3320,,
BRACS_3323,,
BRACS_1003667,,
BRACS_1003670,,
BRACS_1003673,,
BRACS_1003677,,
BRACS_1003678,,
BRACS_1003684,,
BRACS_1003692,,
BRACS_1003698,,
BRACS_1003699,,
BRACS_1003703,,
BRACS_1003708,,
BRACS_1003709,,
BRACS_1003721,,
BRACS_1003731,,
BRACS_300,,
BRACS_743,,
BRACS_1228,,
BRACS_1239,,
BRACS_1271,,
BRACS_1319,,
BRACS_1379,,
BRACS_1486,,
BRACS_1494,,
BRACS_1499,,
BRACS_1503,,
BRACS_1510,,
BRACS_1589,,
BRACS_1610,,
BRACS_1616,,
BRACS_1622,,
BRACS_1773,,
BRACS_1775,,
BRACS_1777,,
BRACS_1788,,
BRACS_1794,,
BRACS_1795,,
BRACS_1797,,
BRACS_1799,,
BRACS_1808,,
BRACS_1813,,
BRACS_1814,,
BRACS_1815,,
BRACS_1844,,
BRACS_1849,,
BRACS_1858,,
BRACS_1860,,
BRACS_1861,,
BRACS_1863,,
BRACS_1871,,
BRACS_1876,,
BRACS_1877,,
BRACS_1882,,
BRACS_1886,,
BRACS_1892,,
BRACS_1899,,
BRACS_1912,,
BRACS_1913,,
BRACS_1915,,
BRACS_1916,,
BRACS_1922,,
BRACS_1925,,
BRACS_1926,,
BRACS_1932,,
BRACS_1933,,
BRACS_1934,,
BRACS_1936,,
BRACS_1937,,
BRACS_1938,,
BRACS_1941,,
BRACS_1943,,
BRACS_1944,,
BRACS_1953,,
BRACS_1955,,
BRACS_1968,,
BRACS_1969,,
BRACS_1971,,
BRACS_1975,,
BRACS_1983,,
BRACS_2007,,
BRACS_3266,,
BRACS_3285,,
BRACS_3318,,
BRACS_1003691,,
BRACS_1003693,,
BRACS_1003728,,
